"","log2FoldChange","padj","Factor"
"ko:K04354",-2.06891005123754,0.0273281443846471,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.263429247518333,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04369",-0.982154279873609,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04370",0.20389123908574,0.945890796337867,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.387349792538644,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.63651837231395,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.1339127111395,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.700255373651593,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.183317643585085,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.637727961673217,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04552",0.169459416031685,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0507322254412627,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04712",0.212651995601388,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.128265380488332,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K05755",0.713427835350286,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K05757",0.0570989465851152,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.72857652685251,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.762074323298544,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K06685",0.347980813498128,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.163150292036031,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K06704",0.55207010124409,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.206267400465692,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07192",-0.194749795528475,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.885750790020402,0.680391144778372,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.254607256542587,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07375",0.135305626703898,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07509",-0.0808881582506937,0.948559115760283,"Menthol_Menthol_vs_Control"
"ko:K07827",0.419399576483968,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07874",0.395441488686363,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07887",0.0790740234913884,0.948559115760283,"Menthol_Menthol_vs_Control"
"ko:K07890",1.23513789727759,0.14714128010283,"Menthol_Menthol_vs_Control"
"ko:K07893",-0.399492740280104,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.528798079510283,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07936",0.306235835951379,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K07937",0.0262515189523212,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K07976",0.542906363521557,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K08056",-0.0863526103791081,0.987467782519639,"Menthol_Menthol_vs_Control"
"ko:K08548",0.13700721954982,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K08764",1.18187661534512,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.547417259522478,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K08957",0.924766138532126,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.467522212724354,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09398",0.957248713860228,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09481",0.117014041633047,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09490",1.32201058622685,0.703742850177776,"Menthol_Menthol_vs_Control"
"ko:K09567",-1.28162585613601,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09568",0.730857021351125,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09569",1.60865161788832,0.358787929611643,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0605929248017296,0.948559115760283,"Menthol_Menthol_vs_Control"
"ko:K09584",0.200020797689822,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.824631977817682,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K10364",0.553396384976196,0.714403583923502,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.15478968572953,0.945079371551781,"Menthol_Menthol_vs_Control"
